grade,direction_value,surface_value,cond_range,race_distance,race_type,median_winner_time,upper_quartile_winner_time,lower_quartile_winner_time,median_top3_time,upper_quartile_top3_time,lower_quartile_top3_time
A,LeftTurning,Dirt,0.0,4,Allowance,46.710301615621965,46.89952053957076,46.612319547538945,46.89619091665186,46.98815685143319,46.790300309452206
A,LeftTurning,Dirt,0.0,4,Claiming,47.12635256808024,47.24609032511213,46.99018879220703,47.37231405768967,47.54520241795745,47.3550105560179
A,LeftTurning,Dirt,0.0,4,Maiden,47.0694634959267,47.144337838914645,46.930120266838784,47.42846105686889,47.60974205018686,47.23022176279479
A,LeftTurning,Dirt,0.0,4,RestrictedStakes,46.75341515939228,46.8841405963682,46.62595008954364,47.06119139627623,47.17555173002253,46.971588567237305
A,LeftTurning,Dirt,0.0,5,Allowance,60.889662478302526,61.07397340887317,60.716824216830666,61.22325560328946,61.43620302990382,60.94514082537875
A,LeftTurning,Dirt,0.0,5,Claiming,61.36718938434184,61.5069226236271,61.103920142321954,61.66993752159885,61.86943489568464,61.48409962786738
A,LeftTurning,Dirt,0.0,5,Maiden,61.331268805999294,61.52574675505689,61.27514889186397,61.69866090351987,61.829492092531645,61.59315100862516
A,LeftTurning,Dirt,0.0,5,RestrictedStakes,60.797806791060054,60.95867511399939,60.63125702471244,61.24286847096087,61.346800639941655,60.92793234732448
A,LeftTurning,Dirt,0.0,6,Allowance,71.45049489409784,71.55093021245216,71.2748243081052,71.70834547548091,71.8044429382251,71.47620242932231
A,LeftTurning,Dirt,0.0,6,Claiming,71.98785844541803,72.2064343970849,71.80052067164578,72.44548135915612,72.7049078011848,72.38055541944644
A,LeftTurning,Dirt,0.0,6,Maiden,72.12840939179752,72.2181033098415,71.84568183793931,72.46067855852505,72.67009859950662,72.32417900873745
A,LeftTurning,Dirt,0.0,6,RestrictedStakes,71.34403236630848,71.3964627812093,71.22673905814814,71.59859155641858,71.68962770762766,71.47492025747493
A,LeftTurning,Dirt,0.0,7,Allowance,84.98512302223335,85.11210620095086,84.8129501409384,85.50289093769095,85.90298149481278,85.15251630945701
A,LeftTurning,Dirt,0.0,7,Claiming,85.77835601459098,85.78975043223082,85.76696159695115,86.1754614663223,86.27291423748484,86.07800869515978
A,LeftTurning,Dirt,0.0,7,Maiden,85.74684946434479,86.00541521764924,85.55878663416134,86.08743082039244,86.28546374832264,86.006196353227
A,LeftTurning,Dirt,0.0,7,RestrictedStakes,85.1602942761607,85.3043398503849,84.81556381236533,85.44468553179674,85.75160903136711,85.04085144944956
A,LeftTurning,Dirt,0.0,8,Allowance,100.27976698797795,100.44475034011597,100.08249660612178,100.5301866637427,101.01196737690117,100.22803994692215
A,LeftTurning,Dirt,0.0,8,Claiming,101.38626275992257,101.45149793391846,101.32102758592669,101.57574265772358,101.97239745470108,101.47487609408931
A,LeftTurning,Dirt,0.0,8,Maiden,101.02135071731439,101.1562410627874,100.91581557126472,101.41686832227606,101.49579517614922,101.14511471767126
A,LeftTurning,Dirt,0.0,8,RestrictedStakes,100.41980022919377,100.69426297418116,99.941298964332,100.83227528226209,100.98286947163633,100.66100593192942
A,LeftTurning,Dirt,0.0,9,Allowance,113.35832073046876,113.65524765249975,113.11450440297739,113.67652007475616,114.0453624286176,113.61330337690862
A,LeftTurning,Dirt,0.0,9,Claiming,115.21520668920296,115.21520668920296,115.21520668920296,115.34804836653733,115.34804836653733,115.34804836653733
A,LeftTurning,Dirt,0.0,9,Maiden,114.19997861413536,114.27987955106488,113.79935125436731,114.61272981207084,114.93355115212452,114.43359798606969
A,LeftTurning,Dirt,0.0,9,RestrictedStakes,113.12222960351951,113.23461563913604,112.86845601107274,113.84364320330997,114.1917161969449,113.36685146184244
A,LeftTurning,Dirt,0.0,10,Allowance,127.32343047624028,127.60831643457286,127.05457557248508,127.98634769755108,128.46005819871877,127.51575747447606
A,LeftTurning,Dirt,0.0,10,Claiming,128.2717210485212,128.30943086419956,128.23401123284282,128.9207323287348,128.9207323287348,128.9207323287348
